t_GeV2,incoherent_nb_per_GeV2
0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000062e-03,8.230869688819008045e-01
6.000000000000000125e-03,1.630109725315068037e+00
9.000000000000001055e-03,2.421344505377571732e+00
1.200000000000000025e-02,3.197062881601873130e+00
1.499999999999999944e-02,3.957531841487245572e+00
1.800000000000000211e-02,4.703013864690749557e+00
2.100000000000000130e-02,5.433766998919128177e+00
2.400000000000000050e-02,6.150044934543407393e+00
2.699999999999999969e-02,6.852097077957722604e+00
2.999999999999999889e-02,7.540168623703540796e+00
3.300000000000000155e-02,8.214500625379951515e+00
3.600000000000000422e-02,8.875330065360655496e+00
3.899999999999999994e-02,9.522889923337531926e+00
4.200000000000000261e-02,1.015740924371056764e+01
4.499999999999999833e-02,1.077911320184385069e+01
4.800000000000000100e-02,1.138822316920612820e+01
5.100000000000000366e-02,1.198495677741542487e+01
5.399999999999999939e-02,1.256952798120546788e+01
5.700000000000000205e-02,1.314214712033274957e+01
5.999999999999999778e-02,1.370302098044123618e+01
6.300000000000000044e-02,1.425235285290328413e+01
6.600000000000000311e-02,1.479034259365302262e+01
6.900000000000000577e-02,1.531718668102976721e+01
7.200000000000000844e-02,1.583307827264793488e+01
7.499999999999999722e-02,1.633820726130975132e+01
7.799999999999999989e-02,1.683276032997724769e+01
8.100000000000000255e-02,1.731692100581864935e+01
8.400000000000000522e-02,1.779086971334561085e+01
8.700000000000000788e-02,1.825478382665595944e+01
8.999999999999999667e-02,1.870883772079724139e+01
9.299999999999999933e-02,1.915320282226579707e+01
9.600000000000000200e-02,1.958804765865608388e+01
9.900000000000000466e-02,2.001353790747437245e+01
1.020000000000000073e-01,2.042983644413078537e+01
1.049999999999999961e-01,2.083710338912400672e+01
1.079999999999999988e-01,2.123549615443143779e+01
1.110000000000000014e-01,2.162516948911903114e+01
1.140000000000000041e-01,2.200627552418323063e+01
1.170000000000000068e-01,2.237896381663851386e+01
1.199999999999999956e-01,2.274338139286284033e+01
1.229999999999999982e-01,2.309967279121357464e+01
1.260000000000000009e-01,2.344798010392616661e+01
1.290000000000000036e-01,2.378844301830795871e+01
1.320000000000000062e-01,2.412119885723847545e+01
1.350000000000000089e-01,2.444638261898828802e+01
1.380000000000000115e-01,2.476412701636754932e+01
1.410000000000000142e-01,2.507456251521587021e+01
1.440000000000000169e-01,2.537781737224445067e+01
1.469999999999999918e-01,2.567401767224106734e+01
1.499999999999999944e-01,2.596328736464941755e+01
1.529999999999999971e-01,2.624574829953250443e+01
1.559999999999999998e-01,2.652152026293051890e+01
1.590000000000000024e-01,2.679072101162456931e+01
1.620000000000000051e-01,2.705346630731443724e+01
1.650000000000000078e-01,2.730986995022162844e+01
1.680000000000000104e-01,2.756004381212677146e+01
1.710000000000000131e-01,2.780409786885105561e+01
1.740000000000000158e-01,2.804214023219125806e+01
1.769999999999999907e-01,2.827427718131648149e+01
1.799999999999999933e-01,2.850061319363792478e+01
1.829999999999999960e-01,2.872125097515771586e+01
1.859999999999999987e-01,2.893629149030779857e+01
1.890000000000000013e-01,2.914583399128672525e+01
1.920000000000000040e-01,2.934997604690213535e+01
1.950000000000000067e-01,2.954881357092827443e+01
1.980000000000000093e-01,2.974244084998634108e+01
2.000000000000000111e-01,2.986867695846888182e+01
2.010000000000000120e-01,2.993095057095536760e+01
2.040000000000000147e-01,3.011443384792181988e+01
2.070000000000000173e-01,3.029298024867579642e+01
2.099999999999999922e-01,3.046667782076146480e+01
2.129999999999999949e-01,3.063561311708861368e+01
2.159999999999999976e-01,3.079987122111338493e+01
2.190000000000000002e-01,3.095953577159574621e+01
2.220000000000000029e-01,3.111468898693937390e+01
2.250000000000000056e-01,3.126541168912261526e+01
